사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Mar.25,2호선,208,왕십리(성동구청),579,1,6118,955,9615,9095,26102,14435,45381,28685,27657,22103,20643,17808,20554,18662,24670,20703,25230,22380,25111,22993,28933,25455,34654,29826,38347,41586,38345,60673,26675,38333,25649,25825,28434,22946,29320,21003,17548,14874,3260,5066,2,88,0,0,0,0
Mar.25,2호선,209,한양대,14,8,1053,657,2701,8939,5648,13738,8989,81013,7207,64014,9568,62021,15263,19870,19023,43761,21938,26924,29661,22304,39897,17069,50005,14440,60208,18955,47703,22850,23901,11004,19994,7550,22283,7010,12392,6460,6508,4690,1259,1310,4,19,0,0,0,0
Mar.25,2호선,210,뚝섬,4,0,3194,2213,9144,17109,19884,41457,27254,140109,17681,98845,16673,47467,20003,41026,24935,41458,29587,44607,36477,40899,45420,40817,57055,40844,88774,45325,139404,53228,75388,30635,54591,17727,47823,14561,28869,12864,11003,8148,1406,2507,3,45,1,1,0,0
Mar.25,2호선,211,성수,77,6,4899,4659,8349,35989,21935,75165,28728,253223,24718,167871,23844,108953,30212,101669,42659,103584,57273,109271,73098,107828,93728,107042,122074,97379,177708,94213,278649,89762,157190,51561,122241,26735,102998,19456,66543,15422,24143,11438,3154,5982,2,821,0,0,0,0
Mar.25,2호선,212,건대입구,293,10,14917,1875,21625,14423,54693,23980,92964,63879,66844,50157,44473,49237,42791,52872,50095,57139,54170,63321,57600,64598,62967,71948,71758,85084,83960,114412,93806,161166,72720,110961,75616,71629,81308,65673,82899,56989,50025,33443,7608,11526,11,1004,0,0,0,0
Mar.25,2호선,213,구의(광진구청),59,7,13176,1370,26878,17874,71861,17992,117918,41214,74760,23232,42448,22396,35146,22435,36805,25996,36359,29049,33568,31417,35122,39504,40252,46871,42774,64469,46023,99535,26931,72997,20940,50651,18648,48047,16110,43148,8476,24414,1332,7173,2,107,0,0,0,0
Mar.25,2호선,214,강변(동서울터미널),22,0,8920,1615,22114,19830,66385,21428,103554,39459,75578,33405,61859,32188,52397,32796,49863,36734,47516,40585,43698,44643,46385,53178,49403,58501,54159,70347,55802,93686,38210,66379,30016,46549,23865,38521,14799,32851,5673,18156,740,4373,0,37,0,0,0,0
Mar.25,2호선,215,잠실나루,4,0,3390,3283,13263,19670,40205,22543,48558,36662,32998,23141,26096,17934,25185,16124,23329,20026,22155,21049,22627,19743,25518,21340,34471,23795,39221,29618,30477,42452,15062,30838,10723,19513,8068,19112,5564,17689,2609,9678,445,2918,0,36,0,0,0,0
Mar.25,2호선,216,잠실(송파구청),98,14,13326,4718,52113,36393,122169,82230,172313,170194,128028,155083,91350,123521,92328,123976,102378,121658,112208,130363,119801,128769,138663,142673,166596,160961,203788,195718,239224,247471,172547,166502,164120,109441,151303,97898,103842,85973,33009,47813,4606,10149,0,171,0,0,0,0
Mar.25,2호선,217,잠실새내,35,1,5762,1048,18864,8918,65424,18409,89014,29732,57784,31349,40096,26085,37499,29025,38900,34141,37472,37190,33933,40047,37234,47873,41352,54404,44245,69965,45565,91681,35144,65353,29753,40347,30192,36079,28923,33070,14772,17866,2212,5290,0,128,0,0,0,0
