업체명,모델명,연료,변속형식,차량형식,자동차 종류,도심주행연비,고속도로연비,CO2배출량(g_km),1회충전주행거리(km),배기량,등급,출시연도
현대,코나(PE) 1.6T-GDI 2WD 16인치/17인치타이어,휘발유,자동,내연기관,승용차,12.7,15.7,119,,1598,2등급,2020
현대,코나(PE) 1.6T-GDI 2WD 18인치타이어,휘발유,자동,내연기관,승용차,11.7,14.1,131,,1598,3등급,2020
현대,코나(PE) 1.6T-GDI 4WD 16인치타이어,휘발유,자동,내연기관,승용차,11.1,13.7,137,,1598,3등급,2020
현대,코나(PE) 1.6T-GDI 4WD 17인치타이어,휘발유,자동,내연기관,승용차,10.8,13.2,142,,1598,3등급,2020
케이지모빌리티,티볼리 에어 가솔린 1.5 AT 2WD  18인치 타이어,휘발유,자동,내연기관,승용차,10.8,13.1,142,,1497,3등급,2021
케이지모빌리티,티볼리 에어 가솔린 1.5 AT 2WD  17인치 타이어,휘발유,자동,내연기관,승용차,10.9,13.2,141,,1497,3등급,2021
투데이션샤인,마이브 M1,전기,없음,전기,승용차,6,5,,57,,초소형,2020
BMW,BMW X4 xDrive30d,경유,자동,하이브리드,승용차,11.2,13.8,157,,2993,3등급,2020
현대,코나(PE) 1.6T-GDI 4WD 18인치타이어,휘발유,자동,내연기관,승용차,10.6,13,145,,1598,3등급,2020
BMW,BMW X3 xDrive30d,경유,자동,하이브리드,승용차,11.3,14,155,,2993,3등급,2020
혼다,ACCORD HYBRID,휘발유,CVT,하이브리드,승용차,18,17,91,,1993,1등급,2021
혼다,ACCORD 1.5T,휘발유,CVT,내연기관,승용차,12.8,15.7,118,,1498,2등급,2021
케이지모빌리티,티볼리 에어 가솔린 1.5 AT 2WD  16인치 타이어,휘발유,자동,내연기관,승용차,10.9,13.5,139,,1497,3등급,2021
현대,싼타페(개조) 2.5T-GDI AWD 5인 20인치타이어,휘발유,자동,내연기관,승용차,8.6,10.9,178,,2497,4등급,2020
